epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,424.25,0.76265,0.94522,1.28599,0.88414,0.65496,0.74686,0.47088,1.27014,1.19653,1.63502,0.000660045,0.000660045,0.000660045
43,433.826,0.76376,0.90417,1.28464,0.66984,0.75074,0.74697,0.4857,1.23621,1.18764,1.58671,0.000649046,0.000649046,0.000649046
44,443.596,0.73939,0.88604,1.27029,0.72622,0.75069,0.76171,0.47763,1.22539,1.16981,1.58641,0.000638047,0.000638047,0.000638047
45,453.309,0.73135,0.86943,1.26034,0.75999,0.70023,0.7539,0.47871,1.23934,1.13281,1.6003,0.000627048,0.000627048,0.000627048
46,463.08,0.74976,0.90945,1.27222,0.73599,0.77394,0.79128,0.48835,1.22781,1.11479,1.56503,0.000616049,0.000616049,0.000616049
47,472.799,0.71567,0.86884,1.25768,0.76884,0.76971,0.78688,0.50668,1.18526,1.05798,1.51328,0.000605051,0.000605051,0.000605051
48,482.509,0.70949,0.85541,1.23733,0.72294,0.75796,0.77287,0.50717,1.20193,1.11991,1.53683,0.000594052,0.000594052,0.000594052
49,492.088,0.72155,0.86677,1.25869,0.78077,0.75159,0.79165,0.51342,1.16535,1.10308,1.51381,0.000583053,0.000583053,0.000583053
50,501.673,0.70487,0.84415,1.24088,0.75674,0.7379,0.76804,0.4986,1.19405,1.1063,1.54863,0.000572054,0.000572054,0.000572054
51,511.39,0.71642,0.84484,1.25394,0.74395,0.7803,0.79617,0.52116,1.18998,1.10611,1.54177,0.000561055,0.000561055,0.000561055
52,520.982,0.73502,0.84138,1.26076,0.79573,0.74833,0.79705,0.51846,1.19371,1.06509,1.54142,0.000550056,0.000550056,0.000550056
53,530.611,0.69497,0.81183,1.23634,0.71084,0.7631,0.78148,0.49712,1.23578,1.10925,1.55011,0.000539057,0.000539057,0.000539057
54,540.193,0.6799,0.80124,1.22456,0.74916,0.75502,0.77562,0.49659,1.19675,1.13998,1.53574,0.000528058,0.000528058,0.000528058
55,550.08,0.696,0.80953,1.23765,0.79691,0.74384,0.79202,0.50756,1.23518,1.08569,1.57978,0.000517059,0.000517059,0.000517059
56,560.252,0.695,0.78745,1.22558,0.69878,0.78051,0.75238,0.48378,1.20715,1.15304,1.55695,0.00050606,0.00050606,0.00050606
57,570.258,0.69942,0.77819,1.22621,0.77641,0.7772,0.78119,0.4928,1.20779,1.16716,1.58161,0.000495062,0.000495062,0.000495062
58,581.961,0.69897,0.76802,1.22244,0.83587,0.75124,0.80611,0.52334,1.12854,1.07382,1.47791,0.000484063,0.000484063,0.000484063
59,592.238,0.69372,0.77024,1.21814,0.77557,0.77626,0.79545,0.51278,1.1678,1.04476,1.53002,0.000473064,0.000473064,0.000473064
60,602.095,0.71845,0.78615,1.23399,0.7806,0.7421,0.78367,0.50032,1.19227,1.11645,1.54439,0.000462065,0.000462065,0.000462065
61,611.936,0.67586,0.76261,1.21595,0.78082,0.77023,0.78786,0.51698,1.16154,1.04963,1.51801,0.000451066,0.000451066,0.000451066
62,621.749,0.68826,0.78213,1.22071,0.82549,0.7788,0.8123,0.541,1.13864,1.00921,1.49371,0.000440067,0.000440067,0.000440067
63,631.525,0.67696,0.75868,1.21847,0.75919,0.77165,0.79351,0.51775,1.14213,1.0864,1.49773,0.000429068,0.000429068,0.000429068
64,641.204,0.65691,0.74139,1.20116,0.74533,0.79684,0.7938,0.51305,1.15454,1.08679,1.50358,0.000418069,0.000418069,0.000418069
