epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,521.873,1.0157,1.17847,1.53723,0.71108,0.72082,0.72274,0.42338,1.35913,1.31821,1.74021,0.000900844,0.000900844,0.000900844
43,533.875,1.01028,1.19121,1.53905,0.69536,0.72389,0.71938,0.422,1.36973,1.20409,1.75853,0.000896127,0.000896127,0.000896127
44,545.861,1.03936,1.20648,1.55165,0.72674,0.7407,0.74656,0.4271,1.42567,1.12581,1.83758,0.000891313,0.000891313,0.000891313
45,557.978,1.02383,1.18742,1.5331,0.78117,0.67707,0.7188,0.41774,1.38591,1.29789,1.7487,0.000886404,0.000886404,0.000886404
46,569.965,1.05849,1.2243,1.58364,0.69607,0.7174,0.72003,0.41945,1.39376,1.25557,1.78833,0.000881401,0.000881401,0.000881401
47,582.027,1.04197,1.18827,1.55029,0.76753,0.69047,0.73253,0.41928,1.41137,1.28718,1.79433,0.000876305,0.000876305,0.000876305
48,594.151,1.05236,1.24351,1.55843,0.68592,0.70491,0.73146,0.43573,1.36014,1.2895,1.73577,0.000871117,0.000871117,0.000871117
49,606.285,1.03171,1.19304,1.54188,0.65489,0.67296,0.67935,0.40574,1.38137,1.43932,1.78062,0.000865839,0.000865839,0.000865839
50,617.178,1.00038,1.14497,1.52483,0.69674,0.7304,0.73323,0.43125,1.39305,1.25475,1.77598,0.000860473,0.000860473,0.000860473
51,627.065,1.04857,1.21717,1.56361,0.74591,0.74976,0.7518,0.46527,1.31478,1.15854,1.65982,0.000855018,0.000855018,0.000855018
52,637.099,1.04868,1.21612,1.56225,0.6871,0.72555,0.71872,0.44938,1.33015,1.1998,1.68667,0.000849477,0.000849477,0.000849477
53,647.106,1.04415,1.2256,1.56064,0.64774,0.73429,0.71898,0.40493,1.38022,1.27157,1.76411,0.000843851,0.000843851,0.000843851
54,657.104,1.00857,1.20804,1.55325,0.66328,0.71988,0.72308,0.43989,1.33252,1.20961,1.72042,0.000838141,0.000838141,0.000838141
55,667.082,1.00622,1.14665,1.5287,0.74782,0.73977,0.77113,0.45317,1.32435,1.2126,1.68777,0.000832349,0.000832349,0.000832349
56,677.074,1.02469,1.14691,1.53341,0.74984,0.74734,0.77243,0.45316,1.35371,1.17899,1.70279,0.000826477,0.000826477,0.000826477
57,687.148,1.01095,1.14836,1.54068,0.70902,0.72073,0.75202,0.43998,1.34042,1.1874,1.71127,0.000820525,0.000820525,0.000820525
58,697.068,1.02152,1.18167,1.54403,0.73645,0.75229,0.76389,0.45059,1.36024,1.1627,1.71549,0.000814495,0.000814495,0.000814495
59,707.174,1.00549,1.14506,1.51711,0.74781,0.75958,0.76244,0.46169,1.32975,1.15917,1.69038,0.000808389,0.000808389,0.000808389
60,717.135,1.02689,1.17119,1.54814,0.72856,0.75422,0.76599,0.46749,1.33056,1.20487,1.69273,0.000802208,0.000802208,0.000802208
61,727.046,1.00395,1.15804,1.52221,0.68424,0.70799,0.71189,0.43313,1.32326,1.26261,1.70555,0.000795954,0.000795954,0.000795954
62,737.006,0.9902,1.13878,1.52261,0.75135,0.69606,0.72099,0.44311,1.29891,1.21132,1.67946,0.000789628,0.000789628,0.000789628
63,747.083,0.9936,1.15237,1.53532,0.73642,0.74284,0.74699,0.43463,1.37753,1.17141,1.78449,0.000783231,0.000783231,0.000783231
64,757.119,0.998,1.16084,1.52069,0.7832,0.67899,0.73187,0.45735,1.32236,1.24495,1.68316,0.000776766,0.000776766,0.000776766
65,767.165,0.99542,1.15957,1.52277,0.69067,0.75109,0.74271,0.44484,1.35401,1.13678,1.74787,0.000770234,0.000770234,0.000770234
66,777.054,1.00207,1.14704,1.52447,0.66583,0.72305,0.71563,0.42188,1.38013,1.17094,1.75913,0.000763637,0.000763637,0.000763637
67,787.01,1.01342,1.18327,1.53056,0.75116,0.71426,0.75931,0.46073,1.31042,1.16842,1.66167,0.000756976,0.000756976,0.000756976
68,796.897,1.02234,1.20431,1.54082,0.66508,0.74053,0.73768,0.4311,1.31382,1.20913,1.66674,0.000750252,0.000750252,0.000750252
69,806.993,1.02497,1.1587,1.54077,0.74518,0.76176,0.77494,0.44993,1.37097,1.08515,1.72634,0.000743468,0.000743468,0.000743468
70,817.073,1.0016,1.16239,1.52763,0.72401,0.74751,0.74983,0.45277,1.31156,1.1979,1.66846,0.000736625,0.000736625,0.000736625
71,827.011,0.98586,1.14569,1.50768,0.72337,0.75448,0.77023,0.47394,1.3105,1.15174,1.6683,0.000729725,0.000729725,0.000729725
72,837.075,0.97823,1.13885,1.50913,0.77449,0.7229,0.75652,0.44566,1.33742,1.21659,1.70736,0.00072277,0.00072277,0.00072277
73,847.182,0.99417,1.13532,1.52225,0.76435,0.73528,0.75537,0.45338,1.3557,1.1808,1.70203,0.000715761,0.000715761,0.000715761
74,857.124,0.96047,1.12817,1.49783,0.73861,0.74939,0.76329,0.47184,1.31998,1.18384,1.66478,0.0007087,0.0007087,0.0007087
75,867.035,0.96713,1.09848,1.49259,0.71474,0.78834,0.78112,0.46899,1.31087,1.1349,1.66697,0.000701588,0.000701588,0.000701588
76,877.011,0.97158,1.1101,1.50005,0.76808,0.73165,0.75489,0.4682,1.3233,1.19487,1.66856,0.000694428,0.000694428,0.000694428
77,886.986,0.98337,1.13121,1.52069,0.7336,0.74141,0.73956,0.46411,1.31474,1.21948,1.69128,0.000687222,0.000687222,0.000687222
78,896.925,0.96175,1.09929,1.5031,0.75746,0.72336,0.7539,0.47405,1.26142,1.15989,1.62451,0.00067997,0.00067997,0.00067997
79,906.958,0.96699,1.09089,1.49067,0.71163,0.75544,0.76217,0.45596,1.32979,1.23329,1.69544,0.000672675,0.000672675,0.000672675
